OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
PSLV R/B,2011-015D,37390,R/B,,IND,4/20/2011,SRILR,,100.82,98.49,811,784,5.5519,,EA,ORB
GSAT-8,2011-022A,37605,PAY,+,IND,5/20/2011,FRGUI,,1436.09,1.66,35823,35750,6.3096,,EA,ORB
GSAT-12,2011-034A,37746,PAY,-,IND,7/15/2011,SRILR,,1456.56,4.83,36219,36154,1.9953,,EA,ORB
PSLV R/B,2011-034B,37747,R/B,,IND,7/15/2011,SRILR,,334.14,18.02,18871,274,9.7922,,EA,ORB
MEGHA-TROPIQUES,2011-058A,37838,PAY,D,IND,10/12/2011,SRILR,3/7/2023,90.86,19.96,381,253,4.8139,,EA,IMP
JUGNU,2011-058B,37839,PAY,+,IND,10/12/2011,SRILR,,101.86,19.96,860,833,0.1464,,EA,ORB
SRMSAT,2011-058D,37841,PAY,+,IND,10/12/2011,SRILR,,102.02,19.97,863,846,0.2037,,EA,ORB
PSLV R/B,2011-058E,37842,R/B,,IND,10/12/2011,SRILR,,101.28,19.79,862,777,6.616,,EA,ORB
RISAT-1,2012-017A,38248,PAY,-,IND,4/26/2012,SRILR,,92.84,97.47,416,411,2.6249,,EA,ORB
PSLV R/B,2012-017B,38249,R/B,D,IND,4/26/2012,SRILR,4/3/2018,87.37,97.31,152,136,5.7525,,EA,IMP
PSLV DEB,2001-049QP,38328,DEB,D,IND,10/22/2001,SRILR,4/24/2016,88.39,97.55,201,189,0.0309,,EA,IMP
PSLV R/B,2012-047C,38757,R/B,,IND,9/9/2012,SRILR,,97.1,98.31,623,617,5.6068,,EA,ORB
GSAT-10,2012-051B,38779,PAY,+,IND,9/28/2012,FRGUI,,1436.09,0.08,35797,35776,13.8482,,EA,ORB
PSLV DEB,2005-017F,38842,DEB,,IND,5/5/2005,SRILR,,94.59,98.12,516,482,0.0078,,EA,ORB
SARAL,2013-009A,39086,PAY,+,IND,2/25/2013,SRILR,,100.51,98.55,785,780,1.6825,,EA,ORB
PSLV R/B,2013-009H,39093,R/B,,IND,2/25/2013,SRILR,,99.41,98.06,761,700,9.0906,,EA,ORB
PSLV DEB,2013-009J,39094,DEB,,IND,2/25/2013,SRILR,,99.73,98.32,752,739,2.1,,EA,ORB
IRNSS-1A,2013-034A,39199,PAY,P,IND,7/1/2013,SRILR,,1436.09,35.31,35888,35685,3.4785,,EA,ORB
PSLV R/B,2013-034B,39200,R/B,,IND,7/1/2013,SRILR,,324.27,17.76,18207,307,10.7647,,EA,ORB
INSAT-3D,2013-038B,39216,PAY,+,IND,7/25/2013,FRGUI,,1436.15,1.46,35793,35783,22.1585,,EA,ORB
GSAT-7,2013-044B,39234,PAY,+,IND,8/29/2013,FRGUI,,1436.09,0.08,35819,35754,14.285,,EA,ORB
MARS ORBITER MISSION,2013-060A,39370,PAY,-,IND,11/5/2013,SRILR,,5574.2,19.4,194676,846,6.5446,,MA,ORB
PSLV R/B,2013-060B,39371,R/B,,IND,11/5/2013,SRILR,,370.55,19.26,21195,227,9.7794,,EA,ORB
GSAT-14,2014-001A,39498,PAY,+,IND,1/5/2014,SRILR,,1436.1,0.04,35811,35762,4.829,,EA,ORB
GSLV R/B,2014-001B,39499,R/B,D,IND,1/5/2014,SRILR,6/8/2014,103.66,19.11,1774,90,5.2583,,EA,IMP
PSLV DEB,2001-049QQ,39597,DEB,D,IND,10/22/2001,SRILR,5/19/2016,92.39,97.58,411,373,0.0136,,EA,IMP
IRNSS-1B,2014-017A,39635,PAY,+,IND,4/4/2014,SRILR,,1436.12,29.26,35867,35707,6.3096,,EA,ORB
PSLV R/B,2014-017B,39636,R/B,,IND,4/4/2014,SRILR,,324.14,19.06,18214,292,8.7014,,EA,ORB
PSLV R/B,2014-034F,40058,R/B,,IND,6/30/2014,SRILR,,97.04,98.31,631,603,5.7704,,EA,ORB
IRNSS-1C,2014-061A,40269,PAY,P,IND,10/15/2014,SRILR,,1436.06,6.06,35862,35710,0.003,,EA,ORB
PSLV R/B,2014-061B,40270,R/B,,IND,10/15/2014,SRILR,,325.16,17.77,18290,281,8.5816,,EA,ORB
GSAT-16,2014-078A,40332,PAY,+,IND,12/6/2014,FRGUI,,1436.13,0.02,35800,35775,63.2456,,EA,ORB
IRNSS-1D,2015-018A,40547,PAY,-,IND,3/28/2015,SRILR,,1470.01,19.94,36488,36407,0.1,,EA,ORB
PSLV R/B,2015-018B,40548,R/B,,IND,3/28/2015,SRILR,,326.52,19.15,18416,242,6.8654,,EA,ORB
PSLV R/B,2015-032F,40720,R/B,,IND,7/10/2015,SRILR,,96.9,98.17,613,607,5.7868,,EA,ORB
GSAT-6,2015-041A,40880,PAY,+,IND,8/27/2015,SRILR,,1436.07,1.45,35798,35774,2,,EA,ORB
GSLV R/B,2015-041B,40881,R/B,D,IND,8/27/2015,SRILR,3/2/2018,89.25,20.02,361,114,3.686,,EA,IMP
ASTROSAT,2015-052A,40930,PAY,+,IND,9/28/2015,SRILR,,97.16,6,629,617,4.8771,,EA,ORB
PSLV R/B,2015-052H,40937,R/B,,IND,9/28/2015,SRILR,,97.09,5.96,640,599,6.0119,,EA,ORB
GSAT-15,2015-065A,41028,PAY,+,IND,11/10/2015,FRGUI,,1436.1,0.03,35797,35776,44.212,,EA,ORB
PSLV R/B,2015-077G,41172,R/B,D,IND,12/16/2015,SRILR,1/16/2023,88.79,14.68,218,211,8.8215,,EA,IMP
